timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763950735,62.6,0,9,0.7,389.53,38,0.62,0.00,99.25,0.00,0
1763950738,62.5,0,9,0.7,389.53,38,4.26,0.00,90.91,0.00,0
1763950741,62.5,0,9,0.7,389.53,38,4.29,0.00,91.24,0.00,0
1763950744,62.6,0,9,0.7,389.53,38,4.21,0.00,91.07,0.00,0
1763950747,62.6,0,9,0.7,389.53,38,4.47,0.00,91.25,0.00,0
1763950750,62.6,0,9,0.7,389.53,38,4.47,0.00,91.05,0.00,0
1763950754,62.6,0,9,0.7,389.53,38,3.66,0.00,91.60,0.00,0
1763950757,62.6,0,9,0.7,389.53,38,4.60,0.00,91.37,0.00,0
1763950760,62.6,0,9,0.7,389.53,38,4.18,0.00,91.58,0.00,0
1763950763,62.6,0,9,0.7,389.53,38,4.04,0.00,91.48,0.00,0
1763950766,62.6,0,9,0.7,389.53,38,4.11,0.00,91.52,0.00,0
1763950769,62.6,0,9,0.7,389.53,38,4.52,0.00,90.84,0.00,0
1763950772,62.7,0,9,0.7,389.53,38,4.21,0.00,90.82,0.00,0
1763950775,62.7,0,9,0.7,389.53,38,4.73,0.00,91.30,0.00,0
1763950778,62.7,0,9,0.7,389.53,38,4.41,0.00,91.30,0.00,0
1763950781,62.7,0,9,0.7,389.53,38,4.78,0.00,91.19,0.00,0
1763950784,62.7,0,9,0.7,389.53,38,4.46,0.00,91.14,0.00,0
1763950787,62.7,0,9,0.7,389.53,38,4.51,0.00,90.61,0.00,0
1763950791,62.7,0,9,0.7,389.53,38,4.43,0.00,90.39,0.00,0
1763950794,62.7,0,9,0.7,389.53,38,4.76,0.00,90.73,0.00,0
