timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763950342,55.9,0,9,0.7,389.53,38,0.50,0.00,99.44,0.00,0
1763950345,55.9,0,9,0.7,389.53,38,5.59,0.00,90.52,0.00,0
1763950348,55.9,0,9,0.7,389.53,38,5.18,0.00,91.22,0.00,0
1763950351,55.9,0,9,0.7,389.53,38,5.53,0.00,90.63,0.00,0
1763950355,55.9,0,9,0.7,389.53,38,5.21,0.00,90.65,0.00,0
1763950358,56.0,0,9,0.7,389.53,38,5.63,0.00,91.27,0.00,0
1763950361,56.0,0,9,0.7,389.53,38,5.31,0.00,91.09,0.00,0
1763950364,56.0,0,9,0.7,389.53,38,5.58,0.00,90.66,0.00,0
1763950367,56.0,0,9,0.7,389.53,38,5.48,0.00,90.93,0.00,0
1763950370,56.0,0,9,0.7,389.53,38,6.04,0.00,90.87,0.00,0
1763950373,56.0,0,9,0.7,389.53,38,5.38,0.00,91.21,0.00,0
1763950376,56.0,0,9,0.7,389.53,38,5.42,0.00,90.74,0.00,0
1763950379,56.0,0,9,0.7,389.53,38,4.74,0.00,91.22,0.00,0
1763950382,56.1,0,9,0.7,389.53,38,4.51,0.00,91.55,0.00,0
1763950385,56.1,0,9,0.7,389.53,38,5.53,0.00,90.45,0.00,0
1763950388,56.1,0,9,0.7,389.53,38,5.11,0.00,90.79,0.00,0
1763950391,56.1,0,9,0.7,389.53,38,5.58,0.00,90.46,0.00,0
1763950395,56.1,0,9,0.7,389.53,38,5.06,0.00,91.09,0.00,0
1763950398,56.1,0,9,0.7,389.53,38,5.47,0.00,90.38,0.00,0
1763950401,56.1,0,9,0.7,389.53,38,5.40,0.00,90.53,0.00,0
