timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763950558,59.7,0,9,0.7,389.53,38,0.69,0.00,98.88,0.00,0
1763950561,59.7,0,9,0.7,389.53,38,15.73,0.00,77.54,0.00,0
1763950564,59.8,0,9,0.7,389.53,38,15.59,0.00,76.72,0.00,0
1763950568,59.9,0,9,0.7,389.53,38,15.20,0.00,78.27,0.00,0
1763950571,60.0,0,9,0.7,389.53,38,15.25,0.00,77.61,0.00,0
1763950574,60.1,0,9,0.7,389.53,38,15.88,0.00,78.20,0.00,0
1763950577,60.2,0,9,0.7,389.53,38,15.25,0.00,78.13,0.00,0
1763950580,60.3,0,9,0.7,389.53,38,15.95,0.00,78.12,0.00,0
1763950583,60.4,0,9,0.7,389.53,38,15.26,0.00,78.47,0.00,0
1763950586,60.5,0,9,0.7,389.53,38,16.04,0.00,76.74,0.00,0
1763950589,60.6,0,9,0.7,389.53,38,15.69,0.00,77.66,0.00,0
1763950592,60.7,0,9,0.7,389.53,38,14.11,0.00,78.64,0.00,0
1763950596,60.8,0,9,0.7,389.53,38,15.36,0.00,77.76,0.00,0
1763950599,60.9,0,9,0.7,389.53,38,15.04,0.00,77.95,0.00,0
1763950602,60.9,0,9,0.7,389.53,38,15.03,0.00,78.63,0.00,0
1763950605,61.0,0,9,0.7,389.53,38,14.69,0.00,77.64,0.00,0
1763950608,61.1,0,9,0.7,389.53,38,15.23,0.00,77.96,0.00,0
1763950611,61.2,0,9,0.7,389.53,38,15.39,0.00,78.07,0.00,0
1763950614,61.3,0,9,0.7,389.53,38,15.05,0.00,77.65,0.00,0
1763950617,61.4,0,9,0.7,389.53,38,14.83,0.00,77.54,0.00,0
