threads,throughput,avg_response_time,p50,p95,p99,success_rate
1,120.34,7.8,7.9,10.18,15.92,100.0
5,449.13,10.63,10.69,15.61,19.77,100.0
10,458.8,21.29,16.05,32.36,126.81,100.0
20,377.05,52.45,34.42,231.89,351.87,100.0
40,317.69,125.32,74.06,554.68,679.54,100.0
