timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763948555,28.4,0,9,0.7,377.73,37,0.50,0.00,99.31,0.00,0
1763948558,28.5,0,9,0.7,377.73,37,15.56,0.00,78.01,0.00,0
1763948561,28.7,0,9,0.7,377.73,37,15.17,0.00,76.99,0.00,0
1763948564,28.9,0,9,0.7,377.73,37,15.03,0.00,78.30,0.00,0
1763948568,29.1,0,9,0.7,377.73,37,15.86,0.00,77.49,0.00,0
1763948571,29.4,0,9,0.7,377.73,37,15.59,0.00,77.84,0.00,0
1763948574,29.6,0,9,0.7,377.73,37,15.32,0.00,77.96,0.00,0
1763948577,29.8,0,9,0.7,377.73,37,14.64,0.00,78.72,0.00,0
1763948580,30.0,0,9,0.7,377.73,37,15.45,0.00,79.03,0.00,0
1763948583,30.2,0,9,0.7,377.73,37,15.75,0.00,77.63,0.00,0
1763948586,30.4,0,9,0.7,377.73,37,14.60,0.00,78.20,0.00,0
1763948589,30.7,0,9,0.7,377.73,37,14.98,0.00,77.68,0.00,0
1763948592,30.9,0,9,0.7,377.73,37,15.74,0.00,77.99,0.00,0
1763948595,31.1,0,9,0.7,377.73,37,15.04,0.00,78.50,0.00,0
1763948599,31.3,0,9,0.7,377.73,37,15.91,0.00,77.12,0.00,0
1763948602,31.5,0,9,0.7,377.73,37,15.69,0.00,78.26,0.00,0
1763948605,31.7,0,9,0.7,377.73,37,15.35,0.00,77.52,0.00,0
1763948608,31.9,0,9,0.7,377.73,37,14.93,0.00,77.58,0.00,0
1763948611,32.2,0,9,0.7,377.73,37,14.94,0.00,78.59,0.00,0
1763948614,32.4,0,9,0.7,377.73,37,15.24,0.00,77.88,0.00,0
