timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763948483,27.4,0,9,0.7,377.73,37,0.38,0.00,99.31,0.00,0
1763948486,27.4,0,9,0.7,377.73,37,5.74,0.00,90.47,0.00,0
1763948489,27.5,0,9,0.7,377.73,37,5.76,0.00,90.83,0.00,0
1763948492,27.5,0,9,0.7,377.73,37,4.93,0.00,91.03,0.00,0
1763948495,27.6,0,9,0.7,377.73,37,5.97,0.00,90.19,0.00,0
1763948498,27.6,0,9,0.7,377.73,37,5.95,0.00,90.82,0.00,0
1763948502,27.7,0,9,0.7,377.73,37,5.31,0.00,90.89,0.00,0
1763948505,27.8,0,9,0.7,377.73,37,5.26,0.00,90.69,0.00,0
1763948508,27.8,0,9,0.7,377.73,37,5.80,0.00,90.49,0.00,0
1763948511,27.9,0,9,0.7,377.73,37,6.07,0.00,90.83,0.00,0
1763948514,27.9,0,9,0.7,377.73,37,5.82,0.00,90.77,0.00,0
1763948517,28.0,0,9,0.7,377.73,37,4.89,0.00,91.31,0.00,0
1763948520,28.1,0,9,0.7,377.73,37,5.51,0.00,90.87,0.00,0
1763948523,28.1,0,9,0.7,377.73,37,5.19,0.00,90.89,0.00,0
1763948526,28.2,0,9,0.7,377.73,37,5.27,0.00,91.31,0.00,0
1763948529,28.2,0,9,0.7,377.73,37,5.44,0.00,90.83,0.00,0
1763948532,28.3,0,9,0.7,377.73,37,5.58,0.00,90.15,0.00,0
1763948536,28.4,0,9,0.7,377.73,37,5.68,0.00,90.59,0.00,0
1763948539,28.4,0,9,0.7,377.73,37,5.52,0.00,90.21,0.00,0
1763948542,28.5,0,9,0.7,377.73,37,6.33,0.00,90.16,0.00,0
