threads,throughput,avg_response_time,p50,p95,p99,success_rate
1,1419.04,0.04,0.67,0.94,1.17,100.0
5,2245.22,1.73,2.0,4.31,5.66,100.0
10,2274.22,3.9,3.39,8.47,11.39,100.0
20,2245.87,8.3,7.21,12.91,16.09,100.0
40,2274.5,17.08,16.02,22.01,25.72,100.0
