timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763951419,74.1,0,9,0.6,389.53,38,0.38,0.00,99.50,0.00,0
1763951422,74.1,0,9,0.6,389.53,38,14.22,0.00,79.91,0.00,0
1763951425,74.1,0,9,0.6,389.53,38,13.89,0.00,80.71,0.00,0
1763951429,74.2,0,9,0.6,389.53,38,13.67,0.00,81.16,0.00,0
1763951432,74.3,0,9,0.6,389.53,38,14.50,0.00,79.71,0.00,0
1763951435,74.3,0,9,0.6,389.53,38,13.98,0.00,80.34,0.00,0
1763951438,74.4,0,9,0.6,389.53,38,15.17,0.00,78.41,0.00,0
1763951441,74.5,0,9,0.6,389.53,38,14.70,0.00,79.64,0.00,0
1763951444,74.5,0,9,0.6,389.53,38,13.92,0.00,80.82,0.00,0
1763951447,74.6,0,9,0.6,389.53,38,13.31,0.00,81.03,0.00,0
1763951450,74.7,0,9,0.6,389.53,38,14.53,0.00,79.52,0.00,0
1763951454,74.7,0,9,0.6,389.53,38,14.86,0.00,79.63,0.00,0
