timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763951347,73.1,0,9,0.6,389.53,38,0.63,0.00,99.00,0.00,0
1763951350,73.1,0,9,0.6,389.53,38,13.82,0.00,80.25,0.00,0
1763951353,73.2,0,9,0.6,389.53,38,15.06,0.00,80.09,0.00,0
1763951356,73.2,0,9,0.6,389.53,38,14.19,0.00,80.73,0.00,0
1763951359,73.3,0,9,0.6,389.53,38,13.42,0.00,80.97,0.00,0
1763951362,73.3,0,9,0.6,389.53,38,13.88,0.00,80.78,0.00,0
1763951365,73.4,0,9,0.6,389.53,38,14.09,0.00,79.03,0.00,0
1763951369,73.5,0,9,0.6,389.53,38,13.92,0.00,79.91,0.00,0
1763951372,73.5,0,9,0.6,389.53,38,14.75,0.00,79.34,0.00,0
1763951375,73.6,0,9,0.6,389.53,38,15.02,0.00,80.27,0.00,0
1763951378,73.7,0,9,0.6,389.53,38,14.21,0.00,80.13,0.00,0
1763951381,73.7,0,9,0.6,389.53,38,13.79,0.00,80.18,0.00,0
1763951384,73.8,0,9,0.6,389.53,38,15.08,0.00,80.62,0.00,0
1763951387,73.8,0,9,0.6,389.53,38,13.97,0.00,80.78,0.00,0
1763951390,73.9,0,9,0.6,389.53,38,14.55,0.00,81.24,0.00,0
1763951393,73.9,0,9,0.6,389.53,38,14.13,0.00,80.50,0.00,0
1763951396,74.0,0,9,0.6,389.53,38,13.43,0.00,81.41,0.00,0
1763951399,74.1,0,9,0.6,389.53,38,14.32,0.00,80.60,0.00,0
1763951403,74.1,0,9,0.6,389.53,38,14.17,0.00,81.42,0.00,0
1763951406,74.2,0,9,0.6,389.53,38,14.29,0.00,80.97,0.00,0
