timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763951203,71.0,0,9,0.7,389.53,38,0.44,0.00,99.44,0.00,0
1763951206,71.0,0,9,0.7,389.53,38,14.18,0.00,80.72,0.00,0
1763951209,71.1,0,9,0.7,389.53,38,13.85,0.00,80.83,0.00,0
1763951212,71.1,0,9,0.7,389.53,38,13.85,0.00,81.12,0.00,0
1763951215,71.2,0,9,0.7,389.53,38,13.67,0.00,81.62,0.00,0
1763951218,71.3,0,9,0.7,389.53,38,13.96,0.00,80.99,0.00,0
1763951221,71.3,0,9,0.7,389.53,38,14.03,0.00,81.38,0.00,0
1763951224,71.4,0,9,0.7,389.53,38,14.09,0.00,80.05,0.00,0
1763951228,71.5,0,9,0.7,389.53,38,13.53,0.00,81.14,0.00,0
1763951231,71.5,0,9,0.7,389.53,38,13.56,0.00,80.49,0.00,0
1763951234,71.6,0,9,0.7,389.53,38,13.73,0.00,80.98,0.00,0
1763951237,71.7,0,9,0.7,389.53,38,13.64,0.00,81.51,0.00,0
1763951240,71.7,0,9,0.7,389.53,38,14.44,0.00,80.06,0.00,0
1763951243,71.8,0,9,0.7,389.53,38,13.92,0.00,80.52,0.00,0
1763951246,71.8,0,9,0.7,389.53,38,14.09,0.00,80.63,0.00,0
1763951249,71.9,0,9,0.7,389.53,38,14.43,0.00,80.56,0.00,0
1763951252,72.0,0,9,0.7,389.53,38,13.14,0.00,82.04,0.00,0
1763951255,72.0,0,9,0.7,389.53,38,13.85,0.00,79.32,0.00,0
1763951259,72.1,0,9,0.6,389.53,38,13.95,0.00,80.55,0.00,0
1763951262,72.2,0,9,0.6,389.53,38,13.76,0.00,81.07,0.00,0
