threads,throughput,avg_response_time,p50,p95,p99,success_rate
1,1828.3,0.01,0.52,0.8,0.98,100.0
5,4271.06,0.63,1.05,2.17,2.89,100.0
10,4232.17,1.84,1.58,4.35,6.23,100.0
20,4176.04,4.28,3.35,7.06,9.41,100.0
40,4242.08,8.92,5.92,11.51,14.33,100.0
