threads,throughput,avg_response_time,p50,p95,p99,success_rate
1,0.8,2.29,1.23,9.75,31.83,80.0
5,3.94,1.83,1.34,2.63,46.01,79.8
10,6.03,275.02,2.8,4441.31,4918.35,78.54
20,7.57,1231.92,102.04,4916.55,5003.58,78.38
40,10.29,2476.22,395.75,5013.88,5055.93,78.51
