threads,throughput,avg_response_time,p50,p95,p99,success_rate
1,230.33,0.0,0.4,0.65,0.79,9.98
5,386.5,0.81,1.06,3.08,4.35,9.94
10,385.42,2.26,1.51,6.24,9.51,10.11
20,382.57,4.46,2.97,8.3,11.99,9.97
40,385.53,9.55,7.4,13.46,17.5,10.0
