timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763948878,42.3,0,9,0.7,377.73,37,0.31,0.00,99.62,0.00,0
1763948881,42.3,0,9,0.7,377.73,37,5.11,0.00,91.16,0.00,0
1763948884,42.3,0,9,0.7,377.73,37,4.96,0.00,91.67,0.00,0
1763948887,42.4,0,9,0.7,377.73,37,5.30,0.00,91.22,0.00,0
1763948890,42.4,0,9,0.7,377.73,37,5.01,0.00,91.44,0.00,0
1763948893,42.4,0,9,0.7,377.73,37,4.70,0.00,91.68,0.00,0
1763948896,42.5,0,9,0.7,377.73,37,4.97,0.00,90.81,0.00,0
1763948900,42.5,0,9,0.7,377.73,37,4.71,0.00,90.82,0.00,0
1763948903,42.6,0,9,0.7,377.73,37,5.00,0.00,91.46,0.00,0
1763948906,42.6,0,9,0.7,377.73,37,5.38,0.00,91.20,0.00,0
1763948909,42.6,0,9,0.7,377.73,37,4.61,0.00,91.10,0.00,0
1763948912,42.7,0,9,0.7,377.73,37,4.63,0.00,91.70,0.00,0
1763948915,42.7,0,9,0.7,377.73,37,4.80,0.00,91.28,0.00,0
1763948918,42.7,0,9,0.7,377.73,37,4.42,0.00,91.21,0.00,0
1763948921,42.8,0,9,0.7,377.73,37,4.87,0.00,91.40,0.00,0
1763948924,42.8,0,9,0.7,377.73,37,5.30,0.00,91.05,0.00,0
1763948927,42.8,0,9,0.7,377.73,37,5.23,0.00,90.93,0.00,0
1763948930,42.9,0,9,0.7,377.73,37,5.06,0.00,91.34,0.00,0
1763948933,42.9,0,9,0.7,377.73,37,5.48,0.00,90.86,0.00,0
1763948936,43.0,0,9,0.7,377.73,37,5.33,0.00,90.72,0.00,0
