timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763949094,49.3,0,9,0.7,377.73,37,0.38,0.00,99.44,0.00,0
1763949097,49.3,0,9,0.7,377.73,37,14.95,0.00,76.57,0.00,0
1763949100,49.5,0,9,0.7,377.73,37,15.96,0.00,76.37,0.00,0
1763949103,49.6,0,9,0.7,377.73,37,15.52,0.00,76.59,0.00,0
1763949106,49.8,0,9,0.7,377.73,37,15.32,0.00,77.24,0.00,0
1763949110,50.0,0,9,0.7,377.73,37,15.23,0.00,77.29,0.00,0
1763949113,50.1,0,9,0.7,377.73,37,14.31,0.00,78.20,0.00,0
1763949116,50.3,0,9,0.7,377.73,37,15.50,0.00,77.56,0.00,0
1763949119,50.5,0,9,0.7,377.73,37,15.17,0.00,78.11,0.00,0
1763949122,50.6,0,9,0.7,377.73,37,15.17,0.00,77.31,0.00,0
1763949125,50.8,0,9,0.7,377.73,37,15.42,0.00,77.06,0.00,0
1763949128,51.0,0,9,0.7,377.73,37,15.77,0.00,77.12,0.00,0
1763949131,51.1,0,9,0.7,377.73,37,15.63,0.00,76.45,0.00,0
1763949134,51.3,0,9,0.7,377.73,37,14.24,0.00,76.90,0.00,0
1763949137,51.4,0,9,0.7,377.73,37,15.08,0.00,77.12,0.00,0
1763949141,51.6,0,9,0.7,377.73,37,14.34,0.00,78.98,0.00,0
1763949144,51.8,0,9,0.7,377.73,37,15.35,0.00,76.35,0.00,0
1763949147,51.9,0,9,0.7,377.73,37,15.53,0.00,76.81,0.00,0
1763949150,52.1,0,9,0.7,377.73,37,15.93,0.00,77.07,0.00,0
1763949153,52.2,0,9,0.7,377.73,37,15.58,0.00,76.86,0.00,0
