timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763949166,52.2,0,9,0.7,377.73,37,0.25,0.00,99.62,0.00,0
1763949169,52.2,0,9,0.7,377.73,37,14.96,0.00,77.40,0.00,0
1763949172,52.4,0,9,0.7,377.73,37,15.28,0.00,77.02,0.00,0
1763949175,52.6,0,9,0.7,377.73,37,14.51,0.00,78.66,0.00,0
1763949178,52.7,0,9,0.7,377.73,37,15.01,0.00,78.03,0.00,0
1763949182,52.9,0,9,0.7,377.73,37,14.62,0.00,77.40,0.00,0
1763949185,53.0,0,9,0.7,377.73,37,14.30,0.00,78.66,0.00,0
1763949188,53.2,0,9,0.7,377.73,37,16.06,0.00,77.07,0.00,0
1763949191,53.3,0,9,0.7,377.73,37,14.75,0.00,78.19,0.00,0
1763949194,53.5,0,9,0.7,377.73,37,14.16,0.00,78.67,0.00,0
1763949197,53.6,0,9,0.7,377.73,37,14.23,0.00,78.66,0.00,0
1763949200,53.8,0,9,0.7,377.73,37,14.80,0.00,77.41,0.00,0
1763949203,53.9,0,9,0.7,377.73,37,14.96,0.00,77.18,0.00,0
1763949206,54.1,0,9,0.7,377.73,37,14.77,0.00,77.71,0.00,0
1763949209,54.2,0,9,0.7,377.73,37,14.17,0.00,78.59,0.00,0
1763949212,54.4,0,9,0.7,377.73,37,14.44,0.00,78.92,0.00,0
1763949216,54.5,0,9,0.7,377.73,37,14.95,0.00,76.69,0.00,0
1763949219,54.7,0,9,0.7,377.73,37,15.07,0.00,77.68,0.00,0
1763949222,54.8,0,9,0.7,377.73,37,14.79,0.00,77.06,0.00,0
1763949225,55.0,0,9,0.7,377.73,37,15.47,0.00,77.09,0.00,0
