timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763949947,48.1,0,9,0.7,389.53,38,0.75,0.00,99.00,0.00,0
1763949950,48.1,0,9,0.7,389.53,38,6.12,0.00,89.97,0.00,0
1763949953,48.1,0,9,0.7,389.53,38,6.06,0.00,90.40,0.00,0
1763949956,48.1,0,9,0.7,389.53,38,5.57,0.00,90.82,0.00,0
1763949959,48.1,0,9,0.7,389.53,38,6.11,0.00,89.67,0.00,0
1763949962,48.1,0,9,0.7,389.53,38,5.86,0.00,89.99,0.00,0
1763949965,48.2,0,9,0.7,389.53,38,6.46,0.00,89.66,0.00,0
1763949969,48.2,0,9,0.7,389.53,38,5.56,0.00,90.15,0.00,0
1763949972,48.2,0,9,0.7,389.53,38,5.81,0.00,90.33,0.00,0
1763949975,48.2,0,9,0.7,389.53,38,5.74,0.00,90.47,0.00,0
1763949978,48.2,0,9,0.7,389.53,38,5.56,0.00,90.53,0.00,0
1763949981,48.3,0,9,0.7,389.53,38,5.29,0.00,90.55,0.00,0
1763949984,48.3,0,9,0.7,389.53,38,5.73,0.00,90.30,0.00,0
1763949987,48.3,0,9,0.7,389.53,38,6.00,0.00,89.69,0.00,0
1763949990,48.3,0,9,0.7,389.53,38,5.37,0.00,90.52,0.00,0
1763949993,48.4,0,9,0.7,389.53,38,5.95,0.00,90.83,0.00,0
1763949996,48.4,0,9,0.7,389.53,38,5.82,0.00,90.83,0.00,0
1763949999,48.4,0,9,0.7,389.53,38,5.53,0.00,90.14,0.00,0
1763950003,48.4,0,9,0.7,389.53,38,5.36,0.00,90.60,0.00,0
1763950006,48.4,0,9,0.7,389.53,38,6.00,0.00,90.21,0.00,0
