threads,throughput,avg_response_time,p50,p95,p99,success_rate
1,928.63,0.67,1.04,1.31,1.55,100.0
5,1449.36,2.94,3.09,6.64,8.63,100.0
10,1430.53,6.48,5.79,13.98,18.75,100.0
20,1428.54,13.49,12.73,21.4,26.35,100.0
40,1420.5,27.65,26.64,35.84,41.31,100.0
